Questions,Answers,b,c,v,id,Text
The disciple Thomas was also known as Didymus but what does this name mean?,Twin,43,11,16,43011016,"So Thomas, called the Twin, said to his fellow disciples, ""Let us also go, that we may die with him."""
Which king decreed that the Jews could return to their land to rebuild the temple?,Cyrus,15,1,2,15001002,"""Thus says Cyrus king of Persia:The LORD, the God of heaven, has given me all the kingdoms of the earth, and he has charged me to build him a house at Jerusalem, which is in Judah."
Isaiah took a cake of what to heal Hezekiah?,Figs,12,20,7,12020007,"And Isaiah said, ""Bring a cake of figs. And let them take and lay it on the boil, that he may recover."""
"Who prayed ""I pray thee open his eyes that he may see?""",Elisha,12,6,17,12006017,"Then Elisha prayed and said, ""O LORD, please open his eyes that he may see."" So the LORD opened the eyes of the young man, and he saw, and behold, the mountain was full of horses and chariots of fire all around Elisha."
How many silver shekels did Jeremiah pay to Hanameel for a field in Anathoth?,Seventeen,24,32,9,24032009,"""And I bought the field at Anathoth from Hanamel my cousin, and weighed out the money to him, seventeen shekels of silver."
In the love poetry of Song of Solomon the lady's hair is described as a flock of which animal?,Goats,22,4,1,22004001,"Behold, you are beautiful, my love, behold, you are beautiful! Your eyes are doves behind your veil. Your hair is like a flock of goats leaping down the slopes of Gilead."
What is the first offering made to the Lord recorded in the Bible?,Cain's fruit of the ground,1,4,3,1004003,"In the course of time Cain brought to the LORD an offering of the fruit of the ground,"
Who has the right to the tree of life?,Those that do God's commandments,66,22,14,66022014,"Blessed are those who wash their robes, so that they may have the right to the tree of life and that they may enter the city by the gates."
"In Proverbs what metal is the ""tongue of the just"" likened to?",Silver,20,10,20,20010020,The tongue of the righteous is choice silver; the heart of the wicked is of little worth.
Which three tribes camped on the northern side of the tabernacle in the wilderness?,Dan Asher Naphtali,4,2,25,4002025,"""On the north side shall be the standard of the camp of Dan by their companies, the chief of the people of Dan being Ahiezer the son of Ammishaddai,"
To where did Paul & Silas flee after upsetting the Jews at Thessalonica?,Berea,44,17,10,44017010,"The brothers immediately sent Paul and Silas away by night to Berea, and when they arrived they went into the Jewish synagogue."
"In the parable about a fig tree when you see the ""tree putting forth leaves"" what is near?",Summer,40,24,32,40024032,"""From the fig tree learn its lesson:as soon as its branch becomes tender and puts out its leaves, you know that summer is near."
"According to Proverbs how do those ""seeking death"" acquire their wealth?",By lying,20,21,6,20021006,The getting of treasures by a lying tongue is a fleeting vapor and a snare of death.
In the prophecy of Isaiah where will a little child play in the kingdom age?,Over the hole of a snake,23,11,8,23011008,"The nursing child shall play over the hole of the cobra, and the weaned child shall put his hand on the adder's den."
In Genesis who was buried under an oak tree below Bethel?,Deborah,1,35,8,1035008,"And Deborah, Rebekah's nurse, died, and she was buried under an oak below Bethel. So he called its name Allon-bacuth."
What color was the High Priest's robe?,Blue,2,28,31,2028031,"""You shall make the robe of the ephod all of blue."
"Who does Paul thank God for because their ""faith and love grew exceedingly""?",The Thessalonians,53,1,3,53001003,"We ought always to give thanks to God for you, brothers, as is right, because your faith is growing abundantly, and the love of every one of you for one another is increasing."
Which nation does Jeremiah say is dwelling in Gad?,Ammon,24,49,1,24049001,"Concerning the Ammonites.Thus says the LORD:""Has Israel no sons? Has he no heir? Why then has Milcom dispossessed Gad, and his people settled in its cities?"
In which city were Paul and Barnabas worshipped as gods?,Lystra,44,14,11,44014011,"And when the crowds saw what Paul had done, they lifted up their voices, saying in Lycaonian, ""The gods have come down to us in the likeness of men!"""
What does the name Israel mean?,Prevails with God,1,32,28,1032028,"Then he said, ""Your name shall no longer be called Jacob, but Israel, for you have striven with God and with men, and have prevailed."""
"What must an Israelite do when ""building a new house""?",Build a guard rail around the roof ,5,22,8,5022008,"""When you build a new house, you shall make a parapet for your roof, that you may not bring the guilt of blood upon your house, if anyone should fall from it."
"Which prophet said ""Out of Egypt have I called my son""?",Hosea,28,11,1,28011001,"When Israel was a child, I loved him, and out of Egypt I called my son."
"""Deceit is in the heart of them that""... do what?",Imagine evil,20,12,20,20012020,"Deceit is in the heart of those who devise evil, but those who plan peace have joy."
Where did Paul leave the sick Trophimus?,Miletum,55,4,20,55004020,"Erastus remained at Corinth, and I left Trophimus, who was ill, at Miletus."
In a battle against the Syrians what killed 27000 of them in the city of Aphek?,A wall fell on them,11,20,30,11020030,"And the rest fled into the city of Aphek, and the wall fell upon 27,000 men who were left. Ben-hadad also fled and entered an inner chamber in the city."
What weight of gold was Solomon recorded as acquiring in one year?,666 talents,11,10,14,11010014,"Now the weight of gold that came to Solomon in one year was 666 talents of gold,"
"Who addresses an epistle to the ""twelve tribes which are scattered abroad""?",James,59,1,1,59001001,"James, a servant of God and of the Lord Jesus Christ,To the twelve tribes in the Dispersion:Greetings."
Who was killed by a wet blanket?,Benhadad,12,8,15,12008015,"But the next day he took the bed cloth and dipped it in water and spread it over his face, till he died. And Hazael became king in his place."
In the parable of the Prodigal Son what did the son do after he received the inheritance?,Travelled and spent them all,42,15,13,42015013,"Not many days later, the younger son gathered all he had and took a journey into a far country, and there he squandered his property in reckless living."
"What did Elisha throw into Jericho's water supply to ""heal"" it?",Salt,12,2,21,12002021,"Then he went to the spring of water and threw salt in it and said, ""Thus says the LORD, I have healed this water; from now on neither death nor miscarriage shall come from it."""
With what unusual weapon did Shamgar slay 600 Philistines?,A cattle prod,7,3,31,7003031,"After him was Shamgar the son of Anath, who killed 600 of the Philistines with an oxgoad, and he also saved Israel."
In which tribe was the city of Ramoth-Gilead?,Gad,5,4,43,5004043,"Bezer in the wilderness on the tableland for the Reubenites, Ramoth in Gilead for the Gadites, and Golan in Bashan for the Manassites."
Why do the four and twenty elders in Revelation give thanks to God?,God has taken his power and commenced his reign ,66,11,17,66011017,"saying, ""We give thanks to you, Lord God Almighty, who is and who was, for you have taken your great power and begun to reign."
David refers to the tribe of Judah as his what in the Psalms?,His lawgiver ,19,60,7,19060007,Gilead is mine; Manasseh is mine; Ephraim is my helmet; Judah is my scepter.
"When Isaiah describes the desolation of the last days a man shall ""cast his idols of silver and his idols of gold to the moles"" and the what?",Bats,23,2,20,23002020,"In that day mankind will cast away their idols of silver and their idols of gold, which they made for themselves to worship, to the moles and to the bats,"
